0,"[0, 0.7350235023502351]",0.7350235023502351,4,0,6,1
1,"[0, 0.9127412741274127]",0.9127412741274127,2,1,4,2
2,"[0, 0.7376987698769877]",0.7376987698769877,2,2,2,1
3,"[0, 0.9357685768576857]",0.9357685768576857,3,1,0,2
4,"[0, 0.9802230223022302]",0.9802230223022302,3,0,5,2
5,"[0, 0.7707270727072707]",0.7707270727072707,3,2,2,1
6,"[0, 0.7513001300130011]",0.7513001300130011,3,0,5,0
7,"[0, 0.738023802380238]",0.738023802380238,3,1,1,1
8,"[0, 0.6904190419041903]",0.6904190419041903,4,2,5,0
9,"[0, 0.7174967496749675]",0.7174967496749675,5,1,3,1
10,"[0, 0.9977247724772478]",0.9977247724772478,1,2,6,2
11,"[0, 0.7522252225222523]",0.7522252225222523,1,1,0,1
12,"[0, 0.9993749374937493]",0.9993749374937493,2,2,4,2
13,"[0, 0.9213171317131714]",0.9213171317131714,2,0,1,2
14,"[0, 0.7330733073307332]",0.7330733073307332,2,1,1,0
15,"[0, 0.9867986798679869]",0.9867986798679869,1,0,0,2
16,"[0, 0.7592759275927593]",0.7592759275927593,1,2,4,1
17,"[0, 0.9549454945494549]",0.9549454945494549,0,1,3,2
18,"[0, 0.9225672567256724]",0.9225672567256724,5,0,4,2
19,"[0, 0.5980223022302231]",0.5980223022302231,2,0,6,2
20,"[0, 0.921817181718172]",0.921817181718172,2,0,4,2
21,"[0, 0.9704720472047205]",0.9704720472047205,1,0,4,2
22,"[0, 0.9636713671367136]",0.9636713671367136,1,0,4,2
23,"[0, 0.9561706170617061]",0.9561706170617061,0,0,4,2
24,"[0, 0.9578457845784579]",0.9578457845784579,0,0,4,2
25,"[0, 0.9807980798079807]",0.9807980798079807,0,0,0,2
26,"[0, 0.9618211821182117]",0.9618211821182117,0,0,4,2
27,"[0, 0.9796229622962296]",0.9796229622962296,0,0,0,2
28,"[0, 0.9853985398539854]",0.9853985398539854,0,0,0,2
29,"[0, 0.9833983398339834]",0.9833983398339834,1,0,0,2
30,"[0, 0.9815981598159816]",0.9815981598159816,0,0,0,2
31,"[0, 0.9866986698669867]",0.9866986698669867,1,0,0,2
32,"[0, 0.9835733573357336]",0.9835733573357336,1,0,0,2
33,"[0, 0.9681218121812181]",0.9681218121812181,0,0,4,2
34,"[0, 0.9527202720272027]",0.9527202720272027,0,0,4,2
35,"[0, 0.9835233523352336]",0.9835233523352336,0,0,0,2
36,"[0, 0.9825232523252324]",0.9825232523252324,0,0,0,2
37,"[0, 0.9587958795879589]",0.9587958795879589,0,0,4,2
38,"[0, 0.9811981198119811]",0.9811981198119811,1,0,0,2
39,"[0, 0.9478447844784478]",0.9478447844784478,0,0,4,2
40,"[0, 0.9892489248924894]",0.9892489248924894,1,0,0,2
41,"[0, 0.93996899689969]",0.93996899689969,0,0,4,2
42,"[0, 0.9852485248524853]",0.9852485248524853,1,0,0,2
43,"[0, 0.9843984398439845]",0.9843984398439845,0,0,0,2
44,"[0, 0.9595459545954595]",0.9595459545954595,0,0,4,2
45,"[0, 0.9642214221422142]",0.9642214221422142,0,0,4,2
46,"[0, 0.9885988598859885]",0.9885988598859885,1,0,0,2
47,"[0, 0.9529702970297029]",0.9529702970297029,0,0,4,2
48,"[0, 0.9774227422742273]",0.9774227422742273,0,0,0,2
49,"[0, 0.954945494549455]",0.954945494549455,0,0,4,2
50,"[0, 0.9505200520052005]",0.9505200520052005,0,0,4,2
